country,iso3,date,cases
Belgium,BEL,2023-02-01,3
Belgium,BEL,2023-02-08,0
Belgium,BEL,2023-02-15,0
Belgium,BEL,2023-02-22,0
Belgium,BEL,2023-03-01,0
Belgium,BEL,2023-03-08,0
Belgium,BEL,2023-03-15,0
Belgium,BEL,2023-03-22,0
Belgium,BEL,2023-03-29,0
Belgium,BEL,2023-04-05,0
Belgium,BEL,2023-04-12,0
Belgium,BEL,2023-04-19,0
Belgium,BEL,2023-04-26,0
Belgium,BEL,2023-05-03,0
Belgium,BEL,2023-05-10,0
Belgium,BEL,2023-05-17,0
Belgium,BEL,2023-05-24,0
Belgium,BEL,2023-05-31,0
Belgium,BEL,2023-06-07,0
Belgium,BEL,2023-06-14,2
Belgium,BEL,2023-06-21,0
Belgium,BEL,2023-06-28,0
Belgium,BEL,2023-07-05,0
Belgium,BEL,2023-07-12,0
Belgium,BEL,2023-07-19,0
Belgium,BEL,2023-07-26,0
Belgium,BEL,2023-08-02,0
Belgium,BEL,2023-08-09,0
Belgium,BEL,2023-08-16,0
Belgium,BEL,2023-08-23,0
Belgium,BEL,2023-08-30,0
Belgium,BEL,2023-09-06,0
Belgium,BEL,2023-09-13,0
Belgium,BEL,2023-09-20,0
Belgium,BEL,2023-09-27,0
Belgium,BEL,2023-10-04,0
Belgium,BEL,2023-10-11,0
Belgium,BEL,2023-10-18,0
Belgium,BEL,2023-10-25,0
Belgium,BEL,2023-11-01,0
Belgium,BEL,2023-11-08,0
Belgium,BEL,2023-11-15,0
Belgium,BEL,2023-11-22,0
Belgium,BEL,2023-11-29,0
Belgium,BEL,2023-12-06,2
Belgium,BEL,2023-12-13,0
Belgium,BEL,2023-12-20,0
Belgium,BEL,2023-12-27,0
Belgium,BEL,2024-01-03,3
Belgium,BEL,2024-01-10,0
Belgium,BEL,2024-01-17,0
Belgium,BEL,2024-01-24,0
Belgium,BEL,2024-01-31,0
Belgium,BEL,2024-02-07,3
Belgium,BEL,2024-02-14,0
Belgium,BEL,2024-02-21,0
Belgium,BEL,2024-02-28,0
Belgium,BEL,2024-03-06,2
Benin,BEN,2022-06-29,3
Benin,BEN,2022-07-06,0
Benin,BEN,2022-07-13,0
Benin,BEN,2022-07-20,0
Benin,BEN,2022-07-27,0
Benin,BEN,2022-08-03,0
Benin,BEN,2022-08-10,0
Benin,BEN,2022-08-17,0
Benin,BEN,2022-08-24,0
Benin,BEN,2022-08-31,0
Benin,BEN,2022-09-07,0
Benin,BEN,2022-09-14,0
Benin,BEN,2022-09-21,0
Benin,BEN,2022-09-28,0
Benin,BEN,2022-10-05,0
Benin,BEN,2022-10-12,0
Benin,BEN,2022-10-19,0
Benin,BEN,2022-10-26,0
Benin,BEN,2022-11-02,0
Benin,BEN,2022-11-09,0
Benin,BEN,2022-11-16,0
Benin,BEN,2022-11-23,0
Benin,BEN,2022-11-30,0
Benin,BEN,2022-12-07,0
Benin,BEN,2022-12-14,0
Benin,BEN,2022-12-21,0
Benin,BEN,2022-12-28,0
Benin,BEN,2023-01-04,0
Benin,BEN,2023-01-11,0
Benin,BEN,2023-01-18,0
Benin,BEN,2023-01-25,0
Benin,BEN,2023-02-01,0
Benin,BEN,2023-02-08,0
Benin,BEN,2023-02-15,0
Benin,BEN,2023-02-22,0
Benin,BEN,2023-03-01,0
Benin,BEN,2023-03-08,0
Benin,BEN,2023-03-15,0
Benin,BEN,2023-03-22,0
Benin,BEN,2023-03-29,0
Benin,BEN,2023-04-05,0
Benin,BEN,2023-04-12,0
Benin,BEN,2023-04-19,0
Benin,BEN,2023-04-26,0
Benin,BEN,2023-05-03,0
Benin,BEN,2023-05-10,0
Benin,BEN,2023-05-17,0
Benin,BEN,2023-05-24,0
Benin,BEN,2023-05-31,0
Benin,BEN,2023-06-07,0
Benin,BEN,2023-06-14,0
Benin,BEN,2023-06-21,0
Benin,BEN,2023-06-28,0
Benin,BEN,2023-07-05,0
Benin,BEN,2023-07-12,0
Benin,BEN,2023-07-19,0
Benin,BEN,2023-07-26,0
Benin,BEN,2023-08-02,0
Benin,BEN,2023-08-09,0
Benin,BEN,2023-08-16,0
Benin,BEN,2023-08-23,0
Benin,BEN,2023-08-30,0
Benin,BEN,2023-09-06,0
Benin,BEN,2023-09-13,0
