project,iso2,year,month,pageviews_ceil
chr.wikipedia,MY,2022,11,1000
chr.wikipedia,AR,2022,11,1000
chr.wikipedia,CH,2022,11,1000
chr.wikipedia,MT,2022,11,1000
chr.wikipedia,PT,2022,11,1000
chr.wikipedia,US,2022,12,45000
chr.wikipedia,CA,2022,12,5000
chr.wikipedia,RU,2022,12,4000
chr.wikipedia,TW,2022,12,4000
chr.wikipedia,PH,2022,12,3000
chr.wikipedia,FR,2022,12,3000
chr.wikipedia,DE,2022,12,3000
chr.wikipedia,NL,2022,12,3000
chr.wikipedia,IN,2022,12,2000
chr.wikipedia,KR,2022,12,2000
chr.wikipedia,SG,2022,12,2000
chr.wikipedia,GB,2022,12,1000
chr.wikipedia,JP,2022,12,1000
chr.wikipedia,ID,2022,12,1000
chr.wikipedia,UA,2022,12,1000
chr.wikipedia,HK,2022,12,1000
chr.wikipedia,PL,2022,12,1000
chr.wikipedia,IE,2022,12,1000
chr.wikipedia,--,2022,12,1000
chr.wikipedia,VN,2022,12,1000
chr.wikipedia,EE,2022,12,1000
chr.wikipedia,ES,2022,12,1000
chr.wikipedia,SE,2022,12,1000
chr.wikipedia,NG,2022,12,1000
chr.wikipedia,FI,2022,12,1000
chr.wikipedia,TH,2022,12,1000
chr.wikipedia,BR,2022,12,1000
chr.wikipedia,IR,2022,12,1000
chr.wikipedia,BE,2022,12,1000
chr.wikipedia,MT,2022,12,1000
chr.wikipedia,AU,2022,12,1000
chr.wikipedia,IL,2022,12,1000
chr.wikipedia,TR,2022,12,1000
chr.wikipedia,IT,2022,12,1000
chr.wikipedia,BY,2022,12,1000
chr.wikipedia,MY,2022,12,1000
chr.wikipedia,KH,2022,12,1000
chr.wikipedia,DK,2022,12,1000
chr.wikipedia,CH,2022,12,1000
chr.wikipedia,SC,2022,12,1000
chr.wikipedia,KZ,2022,12,1000
chr.wikipedia,KE,2022,12,1000
chr.wikipedia,MX,2022,12,1000
chr.wikipedia,CZ,2022,12,1000
chr.wikipedia,AM,2022,12,1000
chr.wikipedia,CO,2022,12,1000
chr.wikipedia,AT,2022,12,1000
