project,iso2,year,month,pageviews_ceil
af.wikipedia,ZA,2022,1,927000
af.wikipedia,US,2022,1,365000
af.wikipedia,DE,2022,1,102000
af.wikipedia,CA,2022,1,50000
af.wikipedia,FR,2022,1,44000
af.wikipedia,IR,2022,1,33000
af.wikipedia,NL,2022,1,32000
af.wikipedia,SG,2022,1,30000
af.wikipedia,RU,2022,1,27000
af.wikipedia,IN,2022,1,24000
af.wikipedia,TR,2022,1,21000
af.wikipedia,GB,2022,1,20000
af.wikipedia,--,2022,1,20000
af.wikipedia,NA,2022,1,20000
af.wikipedia,BE,2022,1,13000
af.wikipedia,PL,2022,1,13000
af.wikipedia,BR,2022,1,12000
af.wikipedia,JP,2022,1,12000
af.wikipedia,FI,2022,1,10000
af.wikipedia,TH,2022,1,9000
af.wikipedia,IT,2022,1,8000
af.wikipedia,AU,2022,1,7000
af.wikipedia,ES,2022,1,7000
af.wikipedia,MX,2022,1,7000
af.wikipedia,ID,2022,1,6000
af.wikipedia,DK,2022,1,6000
af.wikipedia,SE,2022,1,5000
af.wikipedia,KR,2022,1,5000
af.wikipedia,CH,2022,1,4000
af.wikipedia,UA,2022,1,4000
af.wikipedia,HK,2022,1,4000
af.wikipedia,VN,2022,1,4000
af.wikipedia,NO,2022,1,4000
af.wikipedia,MY,2022,1,3000
af.wikipedia,AT,2022,1,3000
af.wikipedia,NG,2022,1,3000
af.wikipedia,CZ,2022,1,3000
af.wikipedia,CO,2022,1,3000
af.wikipedia,RO,2022,1,3000
af.wikipedia,IL,2022,1,3000
af.wikipedia,PT,2022,1,3000
af.wikipedia,PK,2022,1,3000
af.wikipedia,AR,2022,1,3000
af.wikipedia,SA,2022,1,3000
af.wikipedia,IE,2022,1,3000
af.wikipedia,BD,2022,1,3000
af.wikipedia,TW,2022,1,2000
af.wikipedia,MA,2022,1,2000
af.wikipedia,PH,2022,1,2000
af.wikipedia,EG,2022,1,2000
af.wikipedia,CN,2022,1,2000
af.wikipedia,NZ,2022,1,2000
af.wikipedia,PE,2022,1,2000
af.wikipedia,DZ,2022,1,2000
af.wikipedia,HU,2022,1,2000
af.wikipedia,GR,2022,1,2000
af.wikipedia,IQ,2022,1,2000
af.wikipedia,CL,2022,1,2000
af.wikipedia,TZ,2022,1,2000
af.wikipedia,LU,2022,1,2000
af.wikipedia,BG,2022,1,2000
af.wikipedia,ET,2022,1,1000
af.wikipedia,RS,2022,1,1000
af.wikipedia,AE,2022,1,1000
af.wikipedia,KH,2022,1,1000
af.wikipedia,AZ,2022,1,1000
af.wikipedia,LV,2022,1,1000
af.wikipedia,HR,2022,1,1000
af.wikipedia,GH,2022,1,1000
af.wikipedia,SD,2022,1,1000
af.wikipedia,CD,2022,1,1000
af.wikipedia,KE,2022,1,1000
af.wikipedia,SK,2022,1,1000
af.wikipedia,VE,2022,1,1000
af.wikipedia,EC,2022,1,1000
af.wikipedia,MD,2022,1,1000
af.wikipedia,DO,2022,1,1000
af.wikipedia,BY,2022,1,1000
af.wikipedia,KZ,2022,1,1000
af.wikipedia,LT,2022,1,1000
af.wikipedia,CI,2022,1,1000
af.wikipedia,JO,2022,1,1000
af.wikipedia,LK,2022,1,1000
af.wikipedia,CM,2022,1,1000
af.wikipedia,EE,2022,1,1000
af.wikipedia,TN,2022,1,1000
af.wikipedia,UZ,2022,1,1000
af.wikipedia,BW,2022,1,1000
af.wikipedia,HN,2022,1,1000
af.wikipedia,GT,2022,1,1000
af.wikipedia,SI,2022,1,1000
af.wikipedia,GE,2022,1,1000
af.wikipedia,MZ,2022,1,1000
af.wikipedia,AL,2022,1,1000
af.wikipedia,BO,2022,1,1000
