project,page_title,date,pageviews
ba.wikipedia,Герпес,2022-01-01,1
ba.wikipedia,Герпес,2022-01-02,0
ba.wikipedia,Герпес,2022-01-05,0
ba.wikipedia,Герпес,2022-01-06,0
ba.wikipedia,Герпес,2022-01-07,0
ba.wikipedia,Герпес,2022-01-08,0
ba.wikipedia,Герпес,2022-01-09,0
ba.wikipedia,Герпес,2022-01-10,1
ba.wikipedia,Герпес,2022-01-11,0
ba.wikipedia,Герпес,2022-01-12,1
ba.wikipedia,Герпес,2022-01-13,0
ba.wikipedia,Герпес,2022-01-14,0
ba.wikipedia,Герпес,2022-01-16,0
ba.wikipedia,Герпес,2022-01-18,0
ba.wikipedia,Герпес,2022-01-19,0
ba.wikipedia,Герпес,2022-01-20,0
ba.wikipedia,Герпес,2022-01-21,0
ba.wikipedia,Герпес,2022-01-22,0
ba.wikipedia,Герпес,2022-01-23,0
ba.wikipedia,Герпес,2022-01-25,1
ba.wikipedia,Герпес,2022-01-26,2
ba.wikipedia,Герпес,2022-01-27,0
ba.wikipedia,Герпес,2022-01-28,0
ba.wikipedia,Герпес,2022-01-29,0
ba.wikipedia,Герпес,2022-01-30,0
ba.wikipedia,Герпес,2022-01-31,0
ba.wikipedia,Герпес,2022-02-01,0
ba.wikipedia,Герпес,2022-02-02,0
ba.wikipedia,Герпес,2022-02-03,0
ba.wikipedia,Герпес,2022-02-04,0
ba.wikipedia,Герпес,2022-02-05,0
ba.wikipedia,Герпес,2022-02-06,0
ba.wikipedia,Герпес,2022-02-07,0
ba.wikipedia,Герпес,2022-02-08,0
ba.wikipedia,Герпес,2022-02-10,1
ba.wikipedia,Герпес,2022-02-12,0
ba.wikipedia,Герпес,2022-02-14,0
ba.wikipedia,Герпес,2022-02-15,0
ba.wikipedia,Герпес,2022-02-16,0
ba.wikipedia,Герпес,2022-02-17,0
ba.wikipedia,Герпес,2022-02-18,0
ba.wikipedia,Герпес,2022-02-19,0
ba.wikipedia,Герпес,2022-02-20,0
ba.wikipedia,Герпес,2022-02-21,0
ba.wikipedia,Герпес,2022-02-22,0
ba.wikipedia,Герпес,2022-02-23,0
ba.wikipedia,Герпес,2022-02-24,0
ba.wikipedia,Герпес,2022-02-25,0
ba.wikipedia,Герпес,2022-02-26,0
ba.wikipedia,Герпес,2022-02-27,0
ba.wikipedia,Герпес,2022-02-28,1
ba.wikipedia,Герпес,2022-03-01,0
ba.wikipedia,Герпес,2022-03-02,0
ba.wikipedia,Герпес,2022-03-03,0
ba.wikipedia,Герпес,2022-03-04,0
ba.wikipedia,Герпес,2022-03-05,0
ba.wikipedia,Герпес,2022-03-06,0
ba.wikipedia,Герпес,2022-03-07,0
ba.wikipedia,Герпес,2022-03-08,0
ba.wikipedia,Герпес,2022-03-09,0
ba.wikipedia,Герпес,2022-03-10,0
ba.wikipedia,Герпес,2022-03-11,0
ba.wikipedia,Герпес,2022-03-14,0
ba.wikipedia,Герпес,2022-03-15,0
ba.wikipedia,Герпес,2022-03-16,0
ba.wikipedia,Герпес,2022-03-18,0
ba.wikipedia,Герпес,2022-03-19,0
ba.wikipedia,Герпес,2022-03-20,0
ba.wikipedia,Герпес,2022-03-21,0
ba.wikipedia,Герпес,2022-03-23,0
ba.wikipedia,Герпес,2022-03-24,0
ba.wikipedia,Герпес,2022-03-26,0
ba.wikipedia,Герпес,2022-03-27,0
ba.wikipedia,Герпес,2022-03-28,0
ba.wikipedia,Герпес,2022-03-29,0
ba.wikipedia,Герпес,2022-03-30,0
ba.wikipedia,Герпес,2022-03-31,0
ba.wikipedia,Герпес,2022-04-01,0
ba.wikipedia,Герпес,2022-04-02,0
ba.wikipedia,Герпес,2022-04-03,0
ba.wikipedia,Герпес,2022-04-04,0
ba.wikipedia,Герпес,2022-04-05,0
ba.wikipedia,Герпес,2022-04-06,1
ba.wikipedia,Герпес,2022-04-07,0
ba.wikipedia,Герпес,2022-04-08,1
ba.wikipedia,Герпес,2022-04-09,0
ba.wikipedia,Герпес,2022-04-10,0
ba.wikipedia,Герпес,2022-04-11,0
ba.wikipedia,Герпес,2022-04-12,0
ba.wikipedia,Герпес,2022-04-13,0
ba.wikipedia,Герпес,2022-04-14,0
ba.wikipedia,Герпес,2022-04-17,0
ba.wikipedia,Герпес,2022-04-18,0
ba.wikipedia,Герпес,2022-04-19,0
ba.wikipedia,Герпес,2022-04-20,0
ba.wikipedia,Герпес,2022-04-21,0
ba.wikipedia,Герпес,2022-04-23,0
ba.wikipedia,Герпес,2022-04-25,0
ba.wikipedia,Герпес,2022-04-27,0
ba.wikipedia,Герпес,2022-04-28,0
ba.wikipedia,Герпес,2022-04-29,0
ba.wikipedia,Герпес,2022-05-01,0
ba.wikipedia,Герпес,2022-05-02,0
ba.wikipedia,Герпес,2022-05-03,0
ba.wikipedia,Герпес,2022-05-05,0
ba.wikipedia,Герпес,2022-05-07,0
ba.wikipedia,Герпес,2022-05-09,0
ba.wikipedia,Герпес,2022-05-10,0
ba.wikipedia,Герпес,2022-05-13,0
ba.wikipedia,Герпес,2022-05-14,0
ba.wikipedia,Герпес,2022-05-17,0
ba.wikipedia,Герпес,2022-05-19,0
ba.wikipedia,Герпес,2022-05-20,0
ba.wikipedia,Герпес,2022-05-21,0
ba.wikipedia,Герпес,2022-05-22,1
ba.wikipedia,Герпес,2022-05-26,0
ba.wikipedia,Герпес,2022-05-27,0
ba.wikipedia,Герпес,2022-05-28,0
ba.wikipedia,Герпес,2022-05-30,0
ba.wikipedia,Герпес,2022-05-31,0
