project,page_title,date,pageviews
af.wikipedia,Aappokke,2022-07-02,86
af.wikipedia,Aappokke,2022-07-03,26
af.wikipedia,Aappokke,2022-07-04,47
af.wikipedia,Aappokke,2022-07-05,15
af.wikipedia,Aappokke,2022-07-06,93
af.wikipedia,Aappokke,2022-07-07,55
af.wikipedia,Aappokke,2022-07-08,31
af.wikipedia,Aappokke,2022-07-09,13
af.wikipedia,Aappokke,2022-07-10,74
af.wikipedia,Aappokke,2022-07-11,106
af.wikipedia,Aappokke,2022-07-12,55
af.wikipedia,Aappokke,2022-07-13,21
af.wikipedia,Aappokke,2022-07-14,20
af.wikipedia,Aappokke,2022-07-15,10
af.wikipedia,Aappokke,2022-07-16,17
af.wikipedia,Aappokke,2022-07-17,9
af.wikipedia,Aappokke,2022-07-18,16
af.wikipedia,Aappokke,2022-07-19,18
af.wikipedia,Aappokke,2022-07-20,12
af.wikipedia,Aappokke,2022-07-21,26
af.wikipedia,Aappokke,2022-07-22,14
af.wikipedia,Aappokke,2022-07-23,88
af.wikipedia,Aappokke,2022-07-24,154
af.wikipedia,Aappokke,2022-07-25,120
af.wikipedia,Aappokke,2022-07-26,62
af.wikipedia,Aappokke,2022-07-27,47
af.wikipedia,Aappokke,2022-07-28,32
af.wikipedia,Aappokke,2022-07-29,48
af.wikipedia,Aappokke,2022-07-30,25
af.wikipedia,Aappokke,2022-07-31,60
af.wikipedia,Aappokke,2022-08-01,61
af.wikipedia,Aappokke,2022-08-02,45
af.wikipedia,Aappokke,2022-08-03,48
af.wikipedia,Aappokke,2022-08-04,54
af.wikipedia,Aappokke,2022-08-05,68
af.wikipedia,Aappokke,2022-08-06,18
af.wikipedia,Aappokke,2022-08-07,26
af.wikipedia,Aappokke,2022-08-08,77
af.wikipedia,Aappokke,2022-08-09,58
af.wikipedia,Aappokke,2022-08-10,78
af.wikipedia,Aappokke,2022-08-11,32
af.wikipedia,Aappokke,2022-08-12,34
af.wikipedia,Aappokke,2022-08-13,30
af.wikipedia,Aappokke,2022-08-14,42
